date1,state,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
10/06/2020,West Bengal,8985,4950,3620,415,13935
11/06/2020,West Bengal,9328,5117,3779,432,14445
12/06/2020,West Bengal,9768,5338,3988,442,15106
13/06/2020,West Bengal,10244,5587,4206,451,15831
14/06/2020,West Bengal,10698,5693,4542,463,16391
15/06/2020,West Bengal,11087,5552,5060,475,16639
16/06/2020,West Bengal,11494,5515,5494,485,17009
17/06/2020,West Bengal,11909,5386,6028,495,17295
18/06/2020,West Bengal,12300,5261,6533,506,17561
19/06/2020,West Bengal,12735,5216,7001,518,17951
20/06/2020,West Bengal,13090,5258,7303,529,18348
21/06/2020,West Bengal,13531,5126,7865,540,18657
22/06/2020,West Bengal,13945,5093,8297,555,19038
23/06/2020,West Bengal,14358,5102,8687,569,19460
24/06/2020,West Bengal,14728,4930,9218,580,19658
25/06/2020,West Bengal,15173,4880,9702,591,20053
26/06/2020,West Bengal,15648,4852,10190,606,20500
27/06/2020,West Bengal,16190,5039,10535,616,21229
28/06/2020,West Bengal,16711,5293,10789,629,22004
29/06/2020,West Bengal,17283,5451,11193,639,22734
30/06/2020,West Bengal,17907,5535,11719,653,23442
